train_size_category,test_roc_auc,test_balanced_accuracy,fold-site,classifier,feature_type,atlas,dataset
75,0.6517857142857143,0.5206043956043955,Baltimore,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.6419753086419753,0.6134259259259259,Boston,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.6376811594202899,0.5522774327122153,Dallas,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.9047619047619047,0.8809523809523809,Detroit,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.546474358974359,0.5432692307692308,Hartford,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.5335526315789474,0.49802631578947365,mannheim,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.5890092879256966,0.5503095975232198,creteil,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.7956790123456791,0.6833333333333333,udine,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.803921568627451,0.5490196078431372,galway,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.6453634085213033,0.6015037593984962,pittsburgh,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.3961352657004831,0.4251207729468599,grenoble,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.7085714285714286,0.655,geneve,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6304945054945055,0.5398351648351648,Baltimore,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6728395061728394,0.5578703703703703,Boston,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6532091097308489,0.5755693581780538,Dallas,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.8253968253968254,0.7619047619047619,Detroit,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.5857371794871795,0.5280448717948718,Hartford,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6085526315789473,0.5743421052631579,mannheim,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.5998452012383901,0.5410216718266254,creteil,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.8348765432098765,0.7749999999999999,udine,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.7450980392156863,0.6862745098039216,galway,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6547619047619048,0.5745614035087719,pittsburgh,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.5555555555555556,0.6014492753623188,grenoble,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.5957142857142856,0.595,geneve,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6373626373626374,0.625,Baltimore,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6265432098765431,0.5671296296296295,Boston,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6335403726708074,0.6035196687370601,Dallas,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.7857142857142858,0.6666666666666666,Detroit,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6065705128205128,0.5761217948717948,Hartford,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6302631578947369,0.6157894736842104,mannheim,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6377708978328174,0.6168730650154799,creteil,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.7530864197530864,0.6722222222222223,udine,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.607843137254902,0.5098039215686274,galway,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.5595238095238094,0.5758145363408522,pittsburgh,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.5458937198067633,0.49275362318840576,grenoble,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.5857142857142856,0.5907142857142857,geneve,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6524725274725275,0.5934065934065934,Baltimore,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6604938271604938,0.6157407407407407,Boston,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.5641821946169772,0.5502070393374741,Dallas,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.7857142857142857,0.6547619047619048,Detroit,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6354166666666666,0.6161858974358975,Hartford,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6342105263157894,0.5789473684210527,mannheim,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.5828173374613004,0.5232198142414861,creteil,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.7462962962962962,0.6916666666666667,udine,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.37254901960784315,0.4509803921568627,galway,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.5820802005012532,0.5667293233082706,pittsburgh,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.5265700483091788,0.5265700483091788,grenoble,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6085714285714285,0.6242857142857143,geneve,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6964285714285714,0.6456043956043955,Baltimore,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6018518518518519,0.5740740740740741,Boston,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.5062111801242236,0.562111801242236,Dallas,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.7380952380952381,0.7619047619047619,Detroit,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6322115384615384,0.6266025641025641,Hartford,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6427631578947369,0.5914473684210526,mannheim,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.7205882352941178,0.6509287925696594,creteil,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.7138888888888889,0.6833333333333333,udine,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.33333333333333337,0.4019607843137255,galway,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6911027568922306,0.5930451127819549,pittsburgh,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.49275362318840576,0.48067632850241543,grenoble,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.5871428571428572,0.6085714285714285,geneve,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.7115384615384616,0.6717032967032968,Baltimore,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6157407407407407,0.5925925925925926,Boston,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.5714285714285714,0.5916149068322981,Dallas,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6825396825396826,0.7857142857142857,Detroit,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6658653846153847,0.625,Hartford,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.7335526315789473,0.6177631578947369,mannheim,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.7554179566563467,0.71671826625387,creteil,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.7194444444444446,0.6333333333333333,udine,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.5098039215686275,0.5686274509803921,galway,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.725563909774436,0.6557017543859649,pittsburgh,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.5120772946859904,0.49275362318840576,grenoble,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6457142857142857,0.6064285714285714,geneve,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.7486263736263736,0.5906593406593407,Baltimore,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6496913580246914,0.5740740740740741,Boston,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.5445134575569358,0.5243271221532091,Dallas,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.5714285714285714,0.4880952380952381,Detroit,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6690705128205128,0.5793269230769231,Hartford,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.7625000000000001,0.6815789473684211,mannheim,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.7205882352941178,0.6377708978328174,creteil,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.7345679012345678,0.6583333333333333,udine,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.47058823529411775,0.48039215686274506,galway,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6823308270676691,0.6557017543859649,pittsburgh,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.5169082125603865,0.4830917874396135,grenoble,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6257142857142857,0.6221428571428571,geneve,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7245879120879121,0.6291208791208791,Baltimore,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7484567901234568,0.6319444444444444,Boston,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.6097308488612837,0.522256728778468,Dallas,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.3968253968253968,0.5119047619047619,Detroit,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.6266025641025641,0.5496794871794872,Hartford,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7493421052631579,0.694078947368421,mannheim,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7213622291021673,0.6625386996904025,creteil,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7117283950617284,0.611111111111111,udine,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7254901960784315,0.4509803921568627,galway,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.6647869674185464,0.6036967418546366,pittsburgh,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.4782608695652174,0.5483091787439613,grenoble,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.6914285714285714,0.6821428571428572,geneve,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7506868131868132,0.6552197802197802,Baltimore,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6574074074074073,0.537037037037037,Boston,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6242236024844721,0.5460662525879918,Dallas,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.5873015873015874,0.4880952380952381,Detroit,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6298076923076923,0.5336538461538461,Hartford,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7605263157894736,0.7072368421052632,mannheim,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.726780185758514,0.6393188854489165,creteil,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6660493827160494,0.5916666666666667,udine,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6666666666666667,0.48039215686274506,galway,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6472431077694236,0.6569548872180451,pittsburgh,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.5217391304347826,0.49275362318840576,grenoble,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6614285714285715,0.6128571428571429,geneve,L2LR,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.6023351648351648,0.5535714285714286,Baltimore,EN,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.6435185185185185,0.6296296296296295,Boston,EN,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.6977225672877846,0.6475155279503106,Dallas,EN,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.8015873015873016,0.6547619047619048,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.5600961538461539,0.5641025641025641,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.6664473684210526,0.6368421052631579,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.5843653250773994,0.49922600619195046,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.7219135802469135,0.5972222222222222,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.6470588235294118,0.4117647058823529,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.6572681704260652,0.6459899749373434,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.714975845410628,0.5917874396135265,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.5642857142857143,0.5571428571428572,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6833791208791209,0.592032967032967,Baltimore,EN,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.625,0.6041666666666666,Boston,EN,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6821946169772257,0.5874741200828157,Dallas,EN,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.746031746031746,0.5952380952380952,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.608974358974359,0.6057692307692308,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6697368421052632,0.625,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.596749226006192,0.5201238390092879,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.8302469135802469,0.7277777777777777,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6470588235294119,0.5,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6553884711779447,0.6287593984962406,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.5458937198067633,0.47101449275362317,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6342857142857143,0.5414285714285715,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6517857142857143,0.6016483516483516,Baltimore,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6203703703703703,0.6087962962962963,Boston,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.7028985507246377,0.6516563146997929,Dallas,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.873015873015873,0.7261904761904763,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6306089743589743,0.5913461538461539,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6361842105263158,0.6177631578947369,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6408668730650156,0.5921052631578947,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.7679012345679013,0.6333333333333333,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6274509803921569,0.5980392156862745,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6303258145363407,0.5855263157894737,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.642512077294686,0.606280193236715,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.7257142857142858,0.6621428571428571,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.5885989010989011,0.5398351648351648,Baltimore,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6496913580246914,0.6319444444444444,Boston,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6521739130434783,0.5962732919254659,Dallas,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.8888888888888888,0.7738095238095238,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.594551282051282,0.5600961538461539,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.656578947368421,0.6414473684210527,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6656346749226006,0.618421052631579,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.7777777777777777,0.7027777777777777,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.803921568627451,0.7352941176470589,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6560150375939849,0.638157894736842,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6811594202898551,0.5845410628019324,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6885714285714286,0.64,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6236263736263736,0.6181318681318682,Baltimore,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6867283950617283,0.6689814814814815,Boston,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6863354037267081,0.6174948240165632,Dallas,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.8174603174603174,0.7261904761904763,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6338141025641026,0.5584935897435898,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6157894736842106,0.6019736842105263,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.684984520123839,0.6215170278637772,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.7811728395061728,0.6972222222222222,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6666666666666667,0.7647058823529411,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6885964912280702,0.6466165413533835,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6763285024154589,0.6618357487922705,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6557142857142857,0.6307142857142857,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6826923076923077,0.679945054945055,Baltimore,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.683641975308642,0.6643518518518519,Boston,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.7060041407867496,0.6511387163561076,Dallas,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.8253968253968255,0.7261904761904763,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6201923076923077,0.5408653846153846,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6756578947368421,0.5776315789473685,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6880804953560371,0.6524767801857585,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.7811728395061728,0.6972222222222222,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6862745098039217,0.6568627450980392,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6516290726817042,0.656328320802005,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.5990338164251208,0.5483091787439613,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6614285714285714,0.6685714285714286,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6847527472527473,0.5824175824175823,Baltimore,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6774691358024691,0.6666666666666666,Boston,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6987577639751552,0.6413043478260869,Dallas,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.7857142857142858,0.6785714285714286,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6650641025641026,0.608974358974359,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6894736842105263,0.6309210526315789,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6795665634674922,0.6540247678018576,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.7487654320987654,0.6805555555555556,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.7254901960784315,0.8235294117647058,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6892230576441103,0.656328320802005,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6376811594202899,0.538647342995169,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6914285714285715,0.6664285714285715,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7101648351648352,0.646978021978022,Baltimore,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7021604938271605,0.7083333333333333,Boston,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.6780538302277433,0.6594202898550725,Dallas,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7539682539682541,0.7261904761904763,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.6618589743589743,0.5809294871794872,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7046052631578947,0.5927631578947368,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.6787925696594428,0.6509287925696594,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.808641975308642,0.6861111111111111,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7254901960784315,0.8235294117647058,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7199248120300752,0.7180451127819549,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.6231884057971014,0.5048309178743962,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.66,0.6485714285714286,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
